name,Degree,Group,Order
Tran+histidine phosphatase family protein,15,Transcriptome,1
Tran+ABC transporter ATP-binding protein,13,Transcriptome,2
Tran+TetR/AcrR family transcriptional regulator,12,Transcriptome,3
Tran+glycosyltransferase,12,Transcriptome,4
Tran+FCD domain-containing protein,11,Transcriptome,5
Tran+MFS transporter,11,Transcriptome,6
Tran+ATP-binding cassette domain-containing protein,10,Transcriptome,7
Tran+alpha-amylase family protein,10,Transcriptome,8
Tran+potassium channel family protein,9,Transcriptome,9
Tran+Maf family nucleotide pyrophosphatase,9,Transcriptome,10
Tran+PhoH family protein,9,Transcriptome,11
Tran+FUSC family protein,9,Transcriptome,12
Tran+methylmalonyl Co-A mutase-associated GTPase MeaB,9,Transcriptome,13
Tran+superoxide dismutase,8,Transcriptome,14
Tran+RpiB/LacA/LacB family sugar-phosphate isomerase,8,Transcriptome,15
Tran+MarR family transcriptional regulator,8,Transcriptome,16
Tran+HtaA domain-containing protein,8,Transcriptome,17
Tran+Ig-like domain-containing protein,8,Transcriptome,18
Tran+preprotein translocase subunit YajC,7,Transcriptome,19
Tran+chorismate synthase,7,Transcriptome,20
Tran+bifunctional 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase PriA,7,Transcriptome,21
Tran+ribonuclease,7,Transcriptome,22
Tran+peptidase inhibitor family I36 protein,7,Transcriptome,23
Tran+sugar ABC transporter permease,7,Transcriptome,24
Tran+DEAD/DEAH box helicase,7,Transcriptome,25
Tran+helix-turn-helix domain-containing protein,7,Transcriptome,26
Tran+IMPACT family protein,7,Transcriptome,27
Tran+mannose-1-phosphate guanylyltransferase,6,Transcriptome,28
Tran+hemolysin family protein,6,Transcriptome,29
Tran+trigger factor,6,Transcriptome,30
Tran+DUF6350 family protein,6,Transcriptome,31
Tran+uracil-DNA glycosylase,5,Transcriptome,32
Tran+glutamate racemase,5,Transcriptome,33
Tran+CAMP factor pore-forming toxin 4,4,Transcriptome,34
Tran+FxLYD domain-containing protein,4,Transcriptome,35
Tran+PRC and DUF2382 domain-containing protein,3,Transcriptome,36
Tran+argininosuccinate synthase,3,Transcriptome,37
Tran+DUF4282 domain-containing protein,2,Transcriptome,38
Tran+VIT family protein,1,Transcriptome,39
M292T94,103,Metabolome,40
M90T590,43,Metabolome,41
M339T308,39,Metabolome,42
M256T99,33,Metabolome,43
