ID	TranscriptomeName
F6X01_RS00005	chromosomal replication initiator protein DnaA
F6X01_RS00010	DNA polymerase III subunit beta
F6X01_RS00015	DUF6226 family protein
F6X01_RS00020	DNA replication/repair protein RecF
F6X01_RS00025	DciA family protein
F6X01_RS00030	ABC transporter ATP-binding protein/permease
F6X01_RS00040	hypothetical protein
F6X01_RS00045	mannose-6-phosphate isomerase, class I
F6X01_RS00050	DNA topoisomerase (ATP-hydrolyzing) subunit B
F6X01_RS00055	DNA gyrase subunit A
F6X01_RS00060	DUF3566 domain-containing protein
F6X01_RS00065	L-lactate dehydrogenase
F6X01_RS00070	LacI family transcriptional regulator
F6X01_RS00075	sugar ABC transporter ATP-binding protein
F6X01_RS00080	ABC transporter permease
F6X01_RS00085	substrate-binding domain-containing protein
F6X01_RS00090	ribokinase
F6X01_RS00095	D-ribose pyranase
F6X01_RS00100	tRNA-Ile
F6X01_RS00105	hypothetical protein
F6X01_RS00110	PTS sugar transporter subunit IIA
F6X01_RS00115	PTS galactitol transporter subunit IIC
F6X01_RS00120	PTS sugar transporter subunit IIB
F6X01_RS00125	hypothetical protein
F6X01_RS00130	HTH domain-containing protein
F6X01_RS00135	PTS sugar transporter subunit IIA
F6X01_RS00155	metal-dependent amidase/aminoacylase/carboxypeptidase
F6X01_RS00160	hypothetical protein
F6X01_RS00165	HAD-IA family hydrolase
F6X01_RS00170	DeoR/GlpR family DNA-binding transcription regulator
F6X01_RS00175	hypothetical protein
F6X01_RS00180	hypothetical protein
F6X01_RS00185	hypothetical protein
F6X01_RS00190	histidinol-phosphate transaminase
F6X01_RS00195	patatin family protein
F6X01_RS00200	GNAT family N-acetyltransferase
F6X01_RS00205	hypothetical protein
F6X01_RS00215	SAF domain-containing protein
F6X01_RS00220	hypothetical protein
F6X01_RS00225	CpaF/VirB11 family protein
F6X01_RS00230	type II secretion system F family protein
F6X01_RS00235	hypothetical protein
F6X01_RS00240	hypothetical protein
F6X01_RS00245	pilus assembly protein
F6X01_RS00250	membrane protein
F6X01_RS00255	LysM peptidoglycan-binding domain-containing protein
